file, author, a.occurenceRatio, a.referenceEntriesRatio, a.eldestRefDelta, a.newestRefDelta, a.firstOccurrenceRatio, isRealAuthor
../asiaccs-proceedings/combined/2010_p101-huang.pdf,T. Holz,0.29166666666666663,0.13333333333333333,2,2,0.0675144146962857,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,C. Gorecki,0.22916666666666666,0.06666666666666667,2,2,0.09041843926598514,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,F. Freiling,0.22916666666666666,0.06666666666666667,2,2,0.09041843926598514,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,K. Rieck,0.22916666666666666,0.06666666666666667,2,2,0.09041843926598514,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,S. Mannheim,0.041666666666666664,0.06666666666666667,?,?,0.4831841175101065,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,L. Distributed,0.041666666666666664,0.06666666666666667,?,?,0.4831841175101065,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,W. Foundation,0.041666666666666664,0.06666666666666667,?,?,0.2051135521832074,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,E. Passerini,0.16666666666666666,0.06666666666666667,2,2,0.0675144146962857,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,R. Paleari,0.16666666666666666,0.06666666666666667,2,2,0.0675144146962857,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,D. Bruschi,0.16666666666666666,0.06666666666666667,2,2,0.0675144146962857,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,L. Martignoni,0.16666666666666666,0.06666666666666667,2,2,0.0675144146962857,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,T. Brisco,0.041666666666666664,0.06666666666666667,14,14,0.09869409697970241,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,J. Hawkinson,0.041666666666666664,0.06666666666666667,14,14,0.09869409697970241,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,G. Cooper,0.041666666666666664,0.06666666666666667,18,18,0.3531652803352594,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,E. Herskovits,0.041666666666666664,0.06666666666666667,18,18,0.3531652803352594,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,R. Kohavi,0.041666666666666664,0.06666666666666667,12,12,0.5024657650221178,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,F. Provost,0.041666666666666664,0.06666666666666667,12,12,0.5024657650221178,false
../asiaccs-proceedings/combined/2010_p101-huang.pdf,M. Konings,0.041666666666666664,0.06666666666666667,1,1,0.28213431540626915,false
